timestamp,cash,btc_holdings,btc_value,portfolio_value,price,returns
2022-01-01 00:00:00,10000.0,0.0,0.0,10000.0,46490.42231885522,
2022-01-01 04:00:00,10000.0,0.0,0.0,10000.0,46962.64327246093,0.0
2022-01-01 08:00:00,10000.0,0.0,0.0,10000.0,46742.45531050048,0.0
2022-01-01 12:00:00,10000.0,0.0,0.0,10000.0,46821.809881804445,0.0
2022-01-01 16:00:00,10000.0,0.0,0.0,10000.0,47057.17683226205,0.0
2022-01-01 20:00:00,10000.0,0.0,0.0,10000.0,46852.50546616549,0.0
2022-01-02 00:00:00,10000.0,0.0,0.0,10000.0,46222.13879699314,0.0
2022-01-02 04:00:00,10000.0,0.0,0.0,10000.0,47331.250796782224,0.0
2022-01-02 08:00:00,10000.0,0.0,0.0,10000.0,46817.11962097838,0.0
2022-01-02 12:00:00,10000.0,0.0,0.0,10000.0,46279.55818657651,0.0
2022-01-02 16:00:00,10000.0,0.0,0.0,10000.0,46270.62885305478,0.0
2022-01-02 20:00:00,10000.0,0.0,0.0,10000.0,46244.28479048165,0.0
2022-01-03 00:00:00,10000.0,0.0,0.0,10000.0,46387.86193830781,0.0
2022-01-03 04:00:00,10000.0,0.0,0.0,10000.0,46245.247500685946,0.0
2022-01-03 08:00:00,10000.0,0.0,0.0,10000.0,47078.18291440355,0.0
2022-01-03 12:00:00,10000.0,0.0,0.0,10000.0,46938.447899390376,0.0
2022-01-03 16:00:00,10000.0,0.0,0.0,10000.0,47123.9266928353,0.0
2022-01-03 20:00:00,10000.0,0.0,0.0,10000.0,46265.30846218731,0.0
2022-01-04 00:00:00,10000.0,0.0,0.0,10000.0,47066.378605783706,0.0
2022-01-04 04:00:00,10000.0,0.0,0.0,10000.0,47438.28834457713,0.0
2022-01-04 08:00:00,10000.0,0.0,0.0,10000.0,47067.08463967107,0.0
2022-01-04 12:00:00,10000.0,0.0,0.0,10000.0,46955.98341430353,0.0
2022-01-04 16:00:00,10000.0,0.0,0.0,10000.0,47314.64595064317,0.0
2022-01-04 20:00:00,10000.0,0.0,0.0,10000.0,46490.182695428055,0.0
2022-01-05 00:00:00,10000.0,0.0,0.0,10000.0,46984.180780995,0.0
2022-01-05 04:00:00,10000.0,0.0,0.0,10000.0,46836.34069598427,0.0
2022-01-05 08:00:00,10000.0,0.0,0.0,10000.0,46344.37068751989,0.0
2022-01-05 12:00:00,10000.0,0.0,0.0,10000.0,46687.700348869526,0.0
2022-01-05 16:00:00,10000.0,0.0,0.0,10000.0,46385.07069862934,0.0
2022-01-05 20:00:00,10000.0,0.0,0.0,10000.0,47181.30267835396,0.0
2022-01-06 00:00:00,10000.0,0.0,0.0,10000.0,46910.30481729397,0.0
2022-01-06 04:00:00,10000.0,0.0,0.0,10000.0,47164.97250879515,0.0
2022-01-06 08:00:00,10000.0,0.0,0.0,10000.0,47227.80594422331,0.0
2022-01-06 12:00:00,10000.0,0.0,0.0,10000.0,46560.37548614681,0.0
2022-01-06 16:00:00,10000.0,0.0,0.0,10000.0,47192.89702641749,0.0
2022-01-06 20:00:00,10000.0,0.0,0.0,10000.0,46465.96066110987,0.0
2022-01-07 00:00:00,10000.0,0.0,0.0,10000.0,46784.61959149893,0.0
